case_id,family_id,metric_row_index,change_order_rank,is_dominant,is_earliest,service,metric_family,earliest_offset_min,peak_offset_min,baseline_mean,baseline_std,earliest_value,earliest_delta_pct,earliest_residual_z,peak_value,peak_delta,peak_delta_pct,peak_residual_z,sustained_trigger_points,rank_score
S01_ad_high_cpu_run_02,S01_ad_high_cpu,35,,false,false,recommendation,memory_usage,,-8.167,49287256.086,2464362.8043,,,,49225728,-61528.0860215,-0.124835689603,-0.0249671379206,0,0.00490188141175
S01_ad_high_cpu_run_02,S01_ad_high_cpu,36,,false,false,recommendation,pod_restart_count,,-9.333,0,1e-06,,,,0,0,,0,0,0
S01_ad_high_cpu_run_02,S01_ad_high_cpu,37,,false,false,recommendation,pod_running_count,,-9.333,3,0.15,,,,3,0,0,0,0,0
S01_ad_high_cpu_run_02,S01_ad_high_cpu,38,,false,false,ad,dependency_error_ratio,-8.667,-8.667,0.0162601626016,0.093643103215,0.666666666667,4000,6.94558896208,0.666666666667,0.650406504065,4000,6.94558896208,2,4.07024297775
S01_ad_high_cpu_run_02,S01_ad_high_cpu,39,,false,false,ad,error_ratio,,-9.333,0,1e-06,,,,0,0,,0,0,0
S01_ad_high_cpu_run_02,S01_ad_high_cpu,40,4,false,false,ad,request_count,-9.333,-2.167,1.1581300813,2.62444244163,0,-100,-0.441286142508,8.2,7.0418699187,608.037908038,2.68318702937,56,1.93181464961
S01_ad_high_cpu_run_02,S01_ad_high_cpu,41,,false,false,cart,dependency_error_ratio,,-9.333,0,1e-06,,,,0,0,,0,0,0
S01_ad_high_cpu_run_02,S01_ad_high_cpu,42,,false,false,cart,error_ratio,,-9.333,0,1e-06,,,,0,0,,0,0,0
S01_ad_high_cpu_run_02,S01_ad_high_cpu,43,3,false,false,cart,request_count,-9.333,-7.833,13.2601626016,30.0855169755,0,-100,-0.440749035905,93.7,80.4398373984,606.627835684,2.6737063373,56,2.57053848552
S01_ad_high_cpu_run_02,S01_ad_high_cpu,44,,false,false,checkout,dependency_error_ratio,,-9.333,0,1e-06,,,,0,0,,0,0,0
S01_ad_high_cpu_run_02,S01_ad_high_cpu,45,,false,false,checkout,error_ratio,,-9.333,0,1e-06,,,,0,0,,0,0,0
S01_ad_high_cpu_run_02,S01_ad_high_cpu,46,,false,false,checkout,request_count,-9.333,-5.833,0.146558265583,0.381026506595,0,-100,-0.384640603858,1.65,1.50344173442,1025.83210059,3.94576678629,56,0.981051519737
S01_ad_high_cpu_run_02,S01_ad_high_cpu,47,,false,false,email,error_ratio,,-9.333,0,1e-06,,,,0,0,,0,0,0
S01_ad_high_cpu_run_02,S01_ad_high_cpu,48,,false,false,email,request_count,-9.333,-6.833,0.50108401084,1.13700135707,0,-100,-0.440706607536,3.56666666667,3.06558265583,611.790156842,2.69619964546,56,1.16230941225
S01_ad_high_cpu_run_02,S01_ad_high_cpu,49,,false,false,frontend,dependency_error_ratio,,-9.333,0,1e-06,,,,0,0,,0,0,0
S01_ad_high_cpu_run_02,S01_ad_high_cpu,50,,false,false,frontend,error_ratio,,-9.333,0,1e-06,,,,0,0,,0,0,0
S01_ad_high_cpu_run_02,S01_ad_high_cpu,51,,false,false,frontend,http_5xx_ratio,,-9.333,0,1e-06,,,,0,0,,0,0,0
S01_ad_high_cpu_run_02,S01_ad_high_cpu,52,2,false,false,frontend,request_count,-9.333,-0.167,18.2357723577,41.1545293697,0,-100,-0.443104869307,128.366666667,110.130894309,603.927775301,2.67603337945,56,2.5718183587
S01_ad_high_cpu_run_02,S01_ad_high_cpu,53,,false,false,payment,dependency_error_ratio,,-9.333,0,1e-06,,,,0,0,,0,0,0
S01_ad_high_cpu_run_02,S01_ad_high_cpu,54,,false,false,payment,error_ratio,,-9.333,0,1e-06,,,,0,0,,0,0,0
S01_ad_high_cpu_run_02,S01_ad_high_cpu,55,,false,false,payment,request_count,-9.333,-6.833,0.461517615176,1.04829221914,0,-100,-0.440256644809,3.43333333333,2.97181571816,643.922489724,2.83491154843,56,0.797760405491
S01_ad_high_cpu_run_02,S01_ad_high_cpu,56,,false,false,product-catalog,dependency_error_ratio,,-9.333,0,1e-06,,,,0,0,,0,0,0
S01_ad_high_cpu_run_02,S01_ad_high_cpu,57,,false,false,product-catalog,error_ratio,,-9.333,0,1e-06,,,,0,0,,0,0,0
S01_ad_high_cpu_run_02,S01_ad_high_cpu,58,,false,false,product-catalog,request_count,-9.333,-4.000,0.494850948509,1.13292701564,0,-100,-0.436789785818,3.63333333333,3.13848238482,634.227820372,2.7702423382,56,0.787089985804
S01_ad_high_cpu_run_02,S01_ad_high_cpu,59,,false,false,recommendation,dependency_error_ratio,-8.667,-8.667,0.0056107070368,0.0431245526385,0.344086021505,6032.66775913,7.84878436435,0.344086021505,0.338475314469,6032.66775913,7.84878436435,1,2.24059844289
S01_ad_high_cpu_run_02,S01_ad_high_cpu,60,,false,false,recommendation,error_ratio,,-9.333,0,1e-06,,,,0,0,,0,0,0
S01_ad_high_cpu_run_02,S01_ad_high_cpu,61,5,false,false,recommendation,request_count,-9.333,-3.000,1.13821138211,2.58269791268,0,-100,-0.440706354594,8,6.86178861789,602.857142857,2.65682973769,56,1.9209422668
